time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-30 16:00:00,21.6,41,7.8,19.8,0,0.00,975.6
2024-03-30 17:00:00,20.1,39,5.7,18.1,0,0.00,975.4
2024-03-30 18:00:00,17.9,40,4.1,15.6,0,0.00,975.6
2024-03-30 19:00:00,16.7,49,5.9,15.3,0,0.00,975.8
2024-03-30 20:00:00,14.8,55,5.9,13.1,0,0.00,975.7
2024-03-30 21:00:00,13.6,65,7.1,12.1,0,0.00,976.0
2024-03-30 22:00:00,13.1,66,6.9,11.5,0,0.00,976.0
2024-03-30 23:00:00,12.4,71,7.3,11.0,0,0.00,976.2
2024-03-31 00:00:00,12.3,75,8.0,10.7,0,0.00,975.3
2024-03-31 01:00:00,11.6,74,7.1,9.8,0,0.00,975.4
2024-03-31 02:00:00,11.4,73,6.7,9.4,0,0.00,975.7
2024-03-31 03:00:00,11.9,64,5.3,9.3,0,0.00,975.7
2024-03-31 04:00:00,11.3,65,5.0,8.9,0,0.00,975.0
2024-03-31 05:00:00,11.5,65,5.2,8.4,0,0.00,974.7
2024-03-31 06:00:00,12.7,61,5.3,9.8,0,0.00,974.1
2024-03-31 07:00:00,14.4,58,6.2,11.6,0,0.00,975.1
2024-03-31 08:00:00,16.2,54,6.9,13.2,0,0.00,975.4
2024-03-31 09:00:00,17.7,51,7.4,14.6,0,0.00,975.4
2024-03-31 10:00:00,21.0,41,7.3,19.5,0,0.00,975.7
2024-03-31 11:00:00,21.9,36,6.1,18.8,0,0.00,975.7
2024-03-31 12:00:00,21.1,40,6.9,18.4,0,0.00,975.7
2024-03-31 13:00:00,20.5,43,7.5,16.6,0,0.00,975.1
2024-03-31 14:00:00,19.5,52,9.4,17.8,0,0.10,975.1
2024-03-31 15:00:00,19.4,52,9.3,17.1,0,0.00,975.7
2024-03-31 16:00:00,18.8,55,9.5,17.1,0,0.00,975.1
2024-03-31 17:00:00,17.5,58,9.2,15.3,0,0.00,975.1
2024-03-31 18:00:00,16.9,58,8.5,14.6,0,0.00,974.9
2024-03-31 19:00:00,15.8,65,9.2,14.9,0,0.00,975.8
2024-03-31 20:00:00,14.9,71,9.7,14.4,0,0.00,976.4
2024-03-31 21:00:00,14.6,72,9.6,13.0,0,0.00,975.9
